id,formattedAddress,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,daysOnMarket
"1251-1275-Christopher-Dr,-Neenah,-WI-54956","1251-1275 Christopher Dr, Neenah, WI 54956",Neenah,WI,54956,44.222855,-88.488846,Apartment,2,1,1150,,Active,1349,Standard,2025-11-22T00:00:00.000Z,1
"1317-Orchard-Ct,-Neenah,-WI-54956","1317 Orchard Ct, Neenah, WI 54956",Neenah,WI,54956,44.227841,-88.491895,Single Family,4,3.5,2604,,Active,2700,Standard,2025-11-22T00:00:00.000Z,1
"216-Oak-St,-Neenah,-WI-54956","216 Oak St, Neenah, WI 54956",Neenah,WI,54956,44.182974,-88.458277,Single Family,3,2,1100,,Active,1600,Standard,2025-11-22T00:00:00.000Z,1
"112-Andrew-Ave,-Apt-4,-Neenah,-WI-54956","112 Andrew Ave, Apt 4, Neenah, WI 54956",Neenah,WI,54956,44.188938,-88.483315,Condo,2,1,,,Active,815,Standard,2025-11-22T00:00:00.000Z,1
"771-S-Commercial-St,-Neenah,-WI-54956","771 S Commercial St, Neenah, WI 54956",Neenah,WI,54956,44.175498,-88.465291,Condo,2,1,744,,Active,795,Standard,2025-11-22T00:00:00.000Z,1
"927-Louise-St,-Apt-3,-Neenah,-WI-54956","927 Louise St, Apt 3, Neenah, WI 54956",Neenah,WI,54956,44.171513,-88.493683,Condo,2,1,,,Active,899,Standard,2025-11-22T00:00:00.000Z,1
"1250-Burnette-St,-Neenah,-WI-54956","1250 Burnette St, Neenah, WI 54956",Neenah,WI,54956,44.201069,-88.49,Single Family,3,1.5,1716,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"128-W-Bell-St,-Neenah,-WI-54956","128 W Bell St, Neenah, WI 54956",Neenah,WI,54956,44.15567,-88.46473,Apartment,2,1,1016,1995,Active,1195,Standard,2025-11-22T00:00:00.000Z,1
"927-Louise-St,-Apt-1,-Neenah,-WI-54956","927 Louise St, Apt 1, Neenah, WI 54956",Neenah,WI,54956,44.171513,-88.493683,Condo,2,1,,,Active,949,Standard,2025-11-22T00:00:00.000Z,1
"1057-W-Cecil-St,-Apt-4,-Neenah,-WI-54956","1057 W Cecil St, Apt 4, Neenah, WI 54956",Neenah,WI,54956,44.171127,-88.493835,Condo,2,1,,,Active,949,Standard,2025-11-22T00:00:00.000Z,1
"349-Stanley-Ct,-Neenah,-WI-54956","349 Stanley Ct, Neenah, WI 54956",Neenah,WI,54956,44.160915,-88.471954,Condo,3,1.5,1306,,Active,1149,Standard,2025-11-22T00:00:00.000Z,1
"140-N-Western-Ave,-Neenah,-WI-54956","140 N Western Ave, Neenah, WI 54956",Neenah,WI,54956,44.190826,-88.480408,Apartment,3,2,1473,,Active,1113,Standard,2025-11-22T00:00:00.000Z,1
"211-Clairmont-Ct,-Neenah,-WI-54956","211 Clairmont Ct, Neenah, WI 54956",Neenah,WI,54956,44.161488,-88.469215,Apartment,2,1,900,,Active,875,Standard,2025-11-22T00:00:00.000Z,1
"210-5-W-Wisconsin-Ave,-Neenah,-WI-54956","210.5 W Wisconsin Ave, Neenah, WI 54956",Neenah,WI,54956,44.187286,-88.46402,Apartment,2,1,1200,,Active,1200,Standard,2025-11-22T00:00:00.000Z,1
"413-Green-St,-Neenah,-WI-54956","413 Green St, Neenah, WI 54956",Neenah,WI,54956,44.190864,-88.451458,Single Family,2,2,1250,,Active,1650,Standard,2025-11-22T00:00:00.000Z,1
"108-Irene-St,-Neenah,-WI-54956","108 Irene St, Neenah, WI 54956",Neenah,WI,54956,44.178861,-88.477051,Apartment,2,1,,,Active,1100,Standard,2025-06-13T00:00:00.000Z,163
"1225-Doctors-Dr,-Neenah,-WI-54956","1225 Doctors Dr, Neenah, WI 54956",Neenah,WI,54956,44.167032,-88.46623,Apartment,2,1,800,,Active,949,Standard,2024-12-14T00:00:00.000Z,344
"2111-Henry-St,-Neenah,-WI-54956","2111 Henry St, Neenah, WI 54956",Neenah,WI,54956,44.160736,-88.46788,Apartment,2,2,,,Active,1075,Standard,2025-03-06T00:00:00.000Z,262
"518-Isabella-St,-Neenah,-WI-54956","518 Isabella St, Neenah, WI 54956",Neenah,WI,54956,44.183311,-88.466583,Apartment,1,1,650,,Active,949,Standard,2025-05-02T00:00:00.000Z,205
"2273-Country-Ln,-Neenah,-WI-54956","2273 Country Ln, Neenah, WI 54956",Neenah,WI,54956,44.234978,-88.470938,Apartment,2,1,1000,,Active,1500,Standard,2025-11-06T00:00:00.000Z,17
"203-Joseph-Ct,-Neenah,-WI-54956","203 Joseph Ct, Neenah, WI 54956",Neenah,WI,54956,44.162556,-88.468369,Apartment,1,1,864,,Active,975,Standard,2025-03-06T00:00:00.000Z,262
"200-Bond-St,-Neenah,-WI-54956","200 Bond St, Neenah, WI 54956",Neenah,WI,54956,44.191016,-88.459063,Apartment,0,1,350,,Active,649,Standard,2025-11-18T00:00:00.000Z,5
"406-1st-St,-Apt-19,-Neenah,-WI-54956","406 1st St, Apt 19, Neenah, WI 54956",Neenah,WI,54956,44.192266,-88.455411,Apartment,2,2,1150,,Active,1275,Standard,2025-10-02T00:00:00.000Z,52
"821-823-Warbler-Ln,-Neenah,-WI-54952","821-823 Warbler Ln, Neenah, WI 54952",Neenah,WI,54952,44.237286,-88.476807,Townhouse,3,1.5,1300,,Active,1950,Standard,2025-10-14T00:00:00.000Z,40
"416-High-St,-Neenah,-WI-54956","416 High St, Neenah, WI 54956",Neenah,WI,54956,44.192092,-88.462202,Apartment,3,1,1154,,Active,1299,Standard,2025-07-24T00:00:00.000Z,122
"1007-S-Lake-St,-Neenah,-WI-54956","1007 S Lake St, Neenah, WI 54956",Neenah,WI,54956,44.17927,-88.481592,Apartment,2,1,,1990,Active,950,Standard,2025-09-26T00:00:00.000Z,58
"215-Main-St,-Neenah,-WI-54956","215 Main St, Neenah, WI 54956",Neenah,WI,54956,44.18734,-88.467117,Apartment,0,1,566,,Active,1324,Standard,2025-04-03T00:00:00.000Z,234
"1675-Delta-Dr,-Unit-1,-Neenah,-WI-54956","1675 Delta Dr, Unit 1, Neenah, WI 54956",Neenah,WI,54956,44.221992,-88.479454,Condo,2,1,,,Active,1425,Standard,2025-09-25T00:00:00.000Z,59
"339-5th-St,-Neenah,-WI-54956","339 5th St, Neenah, WI 54956",Neenah,WI,54956,44.19174,-88.449309,Apartment,1,1,850,,Active,1000,Standard,2025-11-07T00:00:00.000Z,16
"716-S-Commercial-St,-Neenah,-WI-54956","716 S Commercial St, Neenah, WI 54956",Neenah,WI,54956,44.177732,-88.464578,Single Family,4,2,2500,,Active,2300,Standard,2025-11-05T00:00:00.000Z,18
"205-Adams-St,-Neenah,-WI-54956","205 Adams St, Neenah, WI 54956",Neenah,WI,54956,44.183297,-88.465859,Apartment,1,1,550,1970,Active,899,Standard,2024-04-15T00:00:00.000Z,587
"671-S-Western-Ave,-Neenah,-WI-54956","671 S Western Ave, Neenah, WI 54956",Neenah,WI,54956,44.17971,-88.48031,Apartment,1,1,750,,Active,999,Standard,2025-02-13T00:00:00.000Z,283
"1059-Gillingham-Rd,-Neenah,-WI-54956","1059 Gillingham Rd, Neenah, WI 54956",Neenah,WI,54956,44.168439,-88.486106,Apartment,2,1,650,,Active,995,Standard,2025-11-18T00:00:00.000Z,5
"1031-Hunt-Ave,-Neenah,-WI-54956","1031 Hunt Ave, Neenah, WI 54956",Neenah,WI,54956,44.169138,-88.477823,Apartment,1,1,550,,Active,849,Standard,2025-09-05T00:00:00.000Z,79
"2382-Jacobsen-Rd,-Neenah,-WI-54956","2382 Jacobsen Rd, Neenah, WI 54956",Neenah,WI,54956,44.214692,-88.522536,Single Family,3,2,1500,,Active,2295,Standard,2025-06-24T00:00:00.000Z,151
