id,formattedAddress,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,daysOnMarket,listingWebsite
"1251-1275-Christopher-Dr,-Neenah,-WI-54956","1251-1275 Christopher Dr, Neenah, WI 54956",Neenah,WI,54956,44.222855,-88.488846,Apartment,2,1,1150,,Active,1349,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/1251-1275-Christopher-Dr-1271-11-Neenah-WI-54956/2058914514_zpid/
"1317-Orchard-Ct,-Neenah,-WI-54956","1317 Orchard Ct, Neenah, WI 54956",Neenah,WI,54956,44.227841,-88.491895,Single Family,4,3.5,2604,,Active,2700,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/1317-Orchard-Ct-Neenah-WI-54956/40600704_zpid/
"216-Oak-St,-Neenah,-WI-54956","216 Oak St, Neenah, WI 54956",Neenah,WI,54956,44.182974,-88.458277,Single Family,3,2,1100,,Active,1600,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/216-Oak-St-Neenah-WI-54956/216614333_zpid/
"112-Andrew-Ave,-Apt-4,-Neenah,-WI-54956","112 Andrew Ave, Apt 4, Neenah, WI 54956",Neenah,WI,54956,44.188938,-88.483315,Condo,2,1,,,Active,815,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/112-Andrew-Ave-APT-4-Neenah-WI-54956/2102667316_zpid/
"771-S-Commercial-St,-Neenah,-WI-54956","771 S Commercial St, Neenah, WI 54956",Neenah,WI,54956,44.175498,-88.465291,Condo,2,1,744,,Active,795,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/771-S-Commercial-St-Neenah-WI-54956/216595280_zpid/
"927-Louise-St,-Apt-3,-Neenah,-WI-54956","927 Louise St, Apt 3, Neenah, WI 54956",Neenah,WI,54956,44.171513,-88.493683,Condo,2,1,,,Active,899,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/927-Louise-St-4-Neenah-WI-54956/2063169528_zpid/
"1250-Burnette-St,-Neenah,-WI-54956","1250 Burnette St, Neenah, WI 54956",Neenah,WI,54956,44.201069,-88.49,Single Family,3,1.5,1716,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/1250-Burnette-St-Neenah-WI-54956/40599215_zpid/
"128-W-Bell-St,-Neenah,-WI-54956","128 W Bell St, Neenah, WI 54956",Neenah,WI,54956,44.15567,-88.46473,Apartment,2,1,1016,1995,Active,1195,Standard,2025-11-22T00:00:00.000Z,1,https://www.apartments.com/southview-park-apartments-neenah-wi/0pjft52/
"927-Louise-St,-Apt-1,-Neenah,-WI-54956","927 Louise St, Apt 1, Neenah, WI 54956",Neenah,WI,54956,44.171513,-88.493683,Condo,2,1,,,Active,949,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/927-Louise-St-4-Neenah-WI-54956/2063169528_zpid/
"1057-W-Cecil-St,-Apt-4,-Neenah,-WI-54956","1057 W Cecil St, Apt 4, Neenah, WI 54956",Neenah,WI,54956,44.171127,-88.493835,Condo,2,1,,,Active,949,Standard,2025-11-22T00:00:00.000Z,1,https://www.apartments.com/1057-w-cecil-st-neenah-wi/7pycx6z/
"349-Stanley-Ct,-Neenah,-WI-54956","349 Stanley Ct, Neenah, WI 54956",Neenah,WI,54956,44.160915,-88.471954,Condo,3,1.5,1306,,Active,1149,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/347-Stanley-Ct-349-Neenah-WI-54956/2061981494_zpid/
"140-N-Western-Ave,-Neenah,-WI-54956","140 N Western Ave, Neenah, WI 54956",Neenah,WI,54956,44.190826,-88.480408,Apartment,3,2,1473,,Active,1113,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/140-N-Western-Ave-Neenah-WI-54956/2101513339_zpid/
"211-Clairmont-Ct,-Neenah,-WI-54956","211 Clairmont Ct, Neenah, WI 54956",Neenah,WI,54956,44.161488,-88.469215,Apartment,2,1,900,,Active,875,Standard,2025-11-22T00:00:00.000Z,1,https://www.apartments.com/211-clairmont-ct-neenah-wi-unit-211-clairmont-ct-1/ns29lhm/
"210-5-W-Wisconsin-Ave,-Neenah,-WI-54956","210.5 W Wisconsin Ave, Neenah, WI 54956",Neenah,WI,54956,44.187286,-88.46402,Apartment,2,1,1200,,Active,1200,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/210-5-W-Wisconsin-Ave-Neenah-WI-54956/439817186_zpid/
"413-Green-St,-Neenah,-WI-54956","413 Green St, Neenah, WI 54956",Neenah,WI,54956,44.190864,-88.451458,Single Family,2,2,1250,,Active,1650,Standard,2025-11-22T00:00:00.000Z,1,https://www.zillow.com/homedetails/413-Green-St-Neenah-WI-54956/216604874_zpid/
"108-Irene-St,-Neenah,-WI-54956","108 Irene St, Neenah, WI 54956",Neenah,WI,54956,44.178861,-88.477051,Apartment,2,1,,,Active,1100,Standard,2025-06-13T00:00:00.000Z,163,https://www.apartments.com/108-irene-st-neenah-wi-unit-upper/kf2z3rc/
"1225-Doctors-Dr,-Neenah,-WI-54956","1225 Doctors Dr, Neenah, WI 54956",Neenah,WI,54956,44.167032,-88.46623,Apartment,2,1,800,,Active,949,Standard,2024-12-14T00:00:00.000Z,344,https://www.zillow.com/apartments/neenah-wi/1225-doctors-dr./9HVSvJ/
