distance_band,carrier,multiplier
0-499,Hawaiian Airlines,0.720703731976251
0-499,Southwest Airlines,0.6575054283290924
0-499,Alaska Airlines,0.8215779474130618
0-499,United Airlines,0.7170576759966072
0-499,JetBlue Airways,0.906044910941476
0-499,Delta Air Lines,0.7565566157760815
0-499,American Airlines,0.7316418999151822
0-499,Frontier Airlines,0.4259808736217133
500-999,Hawaiian Airlines,0.4472899915182358
500-999,Southwest Airlines,0.4080672603901611
500-999,Alaska Airlines,0.5098955046649702
500-999,United Airlines,0.4450271416454622
500-999,JetBlue Airways,0.562318193384224
500-999,Delta Air Lines,0.4695413486005089
500-999,American Airlines,0.4540785411365563
500-999,Frontier Airlines,0.2643762934690415
1000-1499,Hawaiian Airlines,0.1867019508057676
1000-1499,Southwest Airlines,0.17033011026293468
1000-1499,Alaska Airlines,0.21283392705682777
1000-1499,United Airlines,0.18575742154368105
1000-1499,JetBlue Airways,0.23471552162849874
1000-1499,Delta Air Lines,0.19598982188295164
1000-1499,American Airlines,0.1895355385920271
1000-1499,Frontier Airlines,0.11035250212044104
1500-1999,Hawaiian Airlines,0.15571908396946565
1500-1999,Southwest Airlines,0.14206412213740457
1500-1999,Alaska Airlines,0.17751450381679384
1500-1999,United Airlines,0.15493129770992364
1500-1999,JetBlue Airways,0.19576488549618323
1500-1999,Delta Air Lines,0.16346564885496181
1500-1999,American Airlines,0.15808244274809158
1500-1999,Frontier Airlines,0.09203969465648854
2000-2499,Hawaiian Airlines,0.12544037319762513
2000-2499,Southwest Airlines,0.11444054283290926
2000-2499,Alaska Airlines,0.1429977947413062
2000-2499,United Airlines,0.12480576759966072
2000-2499,JetBlue Airways,0.15769949109414763
2000-2499,Delta Air Lines,0.13168066157760816
2000-2499,American Airlines,0.12734418999151823
2000-2499,Frontier Airlines,0.07414308736217133
2500-2999,Hawaiian Airlines,0.12051128074639526
2500-2999,Southwest Airlines,0.10994368108566584
2500-2999,Alaska Airlines,0.1373787955894826
2500-2999,United Airlines,0.11990161153519932
2500-2999,JetBlue Airways,0.15150279898218832
2500-2999,Delta Air Lines,0.12650636132315524
2500-2999,American Airlines,0.12234028837998304
2500-2999,Frontier Airlines,0.07122968617472435
3000-3499,Hawaiian Airlines,0.13107362171331638
3000-3499,Southwest Airlines,0.11957981340118744
3000-3499,Alaska Airlines,0.14941950805767598
3000-3499,United Airlines,0.1304105173876166
3000-3499,JetBlue Airways,0.16478142493638678
3000-3499,Delta Air Lines,0.1375941475826972
3000-3499,American Airlines,0.13306293469041558
3000-3499,Frontier Airlines,0.0774726887192536
3500-3999,Hawaiian Airlines,0.10924478371501273
3500-3999,Southwest Airlines,0.09966513994910942
3500-3999,Alaska Airlines,0.12453536895674298
3500-3999,United Airlines,0.10869211195928752
3500-3999,JetBlue Airways,0.13733893129770994
3500-3999,Delta Air Lines,0.1146793893129771
3500-3999,American Airlines,0.11090279898218827
3500-3999,Frontier Airlines,0.0645704834605598
4000-4499,Hawaiian Airlines,0.10823884648006786
4000-4499,Southwest Airlines,0.09874741306191688
4000-4499,Alaska Airlines,0.12338863443596267
4000-4499,United Airlines,0.10769126378286682
4000-4499,JetBlue Airways,0.13607430025445294
4000-4499,Delta Air Lines,0.1136234096692112
4000-4499,American Airlines,0.10988159457167089
4000-4499,Frontier Airlines,0.06397591178965224
4500-4999,Hawaiian Airlines,0.1049192536047498
4500-4999,Southwest Airlines,0.09571891433418152
4500-4999,Alaska Airlines,0.1196044105173876
4500-4999,United Airlines,0.10438846480067852
4500-4999,JetBlue Airways,0.13190101781170485
4500-4999,Delta Air Lines,0.11013867684478372
4500-4999,American Airlines,0.10651162001696352
4500-4999,Frontier Airlines,0.06201382527565733
5000-5499,Hawaiian Airlines,0.10280678541136556
5000-5499,Southwest Airlines,0.09379168787107718
5000-5499,Alaska Airlines,0.11719626802374893
5000-5499,United Airlines,0.10228668363019507
5000-5499,JetBlue Airways,0.12924529262086515
5000-5499,Delta Air Lines,0.10792111959287531
5000-5499,American Airlines,0.10436709075487699
5000-5499,Frontier Airlines,0.060765224766751474
5500-5999,Hawaiian Airlines,0.11477743850720949
5500-5999,Southwest Airlines,0.10471263782866835
5500-5999,Alaska Airlines,0.13084240882103473
5500-5999,United Airlines,0.11419677692960133
5500-5999,JetBlue Airways,0.1442944020356234
5500-5999,Delta Air Lines,0.12048727735368955
5500-5999,American Airlines,0.11651942324003389
5500-5999,Frontier Airlines,0.06784062765055131
